date,content,predicted_sentiment
2024-05-10 09:23:09+00:00,athens reuters greece will start bringing in workers from egypt this summer to take on temporary farming jobs under a deal between the countries to tackle a labour shortage the migration ministr 1652 chars,Negative
2024-05-10 10:23:04+00:00,on may 7 saudi arabias ministry of foreign affairs released a scathing statement as the israeli military targeted the palestinian city of rafah now known as the last relatively safe refuge for 6692 chars,Positive
2024-05-10 11:50:17+00:00,google fixes fifth actively exploited chrome zeroday this year russialinked apt28 targets government polish institutions citrix warns customers to update putty version installed on their xe 67451 chars,Negative
2024-05-10 12:45:00+00:00,students from the lebanese american university lau burn a picture of israeli prime minister benjamin netanyahu during a protest inside their university campus to demand a ceasefire and show 8848 chars,Negative
2024-05-10 13:12:00+00:00,largest and most advanced business process outsourcing bpo facility in kenya commissioned by he the president of kenya dr william s rutoover 5000 new jobs created with us 50 7813 chars,Positive
2024-05-10 15:37:20+00:00,in the northwest corner of saudi arabia construction is underway on a megaproject that promises to one day house more people than new york city spread across a vertical skyscraper taller than the e 5064 chars,Positive
2024-05-10 15:59:13+00:00,president joe bidens decision to withhold bombs from israel will cause more israeli soldiers to die in boobytrapped buildings that would otherwise have been destroyed from the air according to a m 2763 chars,Negative
2024-05-10 16:15:00+00:00,united nations the un general assembly voted by a wide margin on friday to grant new rights and privileges to palestine and called on the security council to favorably reconsider its request to bec 19720 chars,Positive
2024-05-10 17:15:00+00:00,washington president joe biden and israeli prime minister benjamin netanyahu have long managed a complicated relationship but theyre running out of space to maneuver as their views on the gaza war 20261 chars,Negative
2024-05-10 17:16:53+00:00,by giulia petroni heres a look at what happened in oil markets in the week of may 610 and what will be in focus in the days to come overview oil prices fluctuated between positive and negativ 3836 chars,Positive
2024-05-11 01:42:06+00:00,the united states issued friday a stunning criticism of israels use of american weapons in the gaza war after israeli forces intensified operations around the southern city of rafah where more tha 5620 chars,Negative
2024-05-11 01:43:03+00:00,smoke rises from a fire after israeli bombardment in rafah whose eastern sector israeli troops have entered despite international objections copyright afp the united states issued friday a stun 5365 chars,Positive
2024-05-11 05:47:43+00:00,jerusalem the united states has issued a stunning criticism of israels use of american weapons in the gaza war after israeli forces intensified operations around the southern city of rafah where 5290 chars,Negative
2024-05-11 05:52:02+00:00,the united states criticised israels use of american weapons in the gaza war particularly around the city of rafahthe us report suggests israels actions may be inconsistent with 5839 chars,Negative
2024-05-11 07:29:15+00:00,the united states has issued a stunning criticism of israels use of american weapons in gaza after israeli forces intensified operations around the southern city of rafah where more than one millio 5230 chars,Negative
2024-05-11 07:58:19+00:00,israel has ordered new evacuations in the southern gaza city of rafah as it prepares to expand its operation saying it is also moving into an area in northern gaza where hamas has regrouped fighti 3967 chars,Positive
2024-05-11 08:39:09+00:00,bloomberg one of the arab worlds last holdouts to global vacationers is slowly opening up as a new algerian visa program gives more outsiders the chance to take in the lunar landscapes and prehist 4409 chars,Positive
2024-05-11 09:28:43+00:00,a cyberattack hit the us healthcare giant ascension google fixes fifth actively exploited chrome zeroday this year russialinked apt28 targets government polish institutions citrix warns 67507 chars,Negative
2024-05-11 11:36:33+00:00,hello friends the 60 days rapid revision rare series is iasbabas flagship initiative recommended by toppers and loved by the aspirants community every year it is the most comprehensive program w 89618 chars,Positive
2024-05-11 15:01:15+00:00,notorius threat actor intelbroker claims the hack of the europol a cyberattack hit the us healthcare giant ascension google fixes fifth actively exploited chrome zeroday this year russia 67576 chars,Negative
2024-05-11 18:00:00+00:00,a lurid tidbit of historical trivia making the social media rounds since the late 2000s supposedly reveals a shocking example of racist cruelty in the united states past namely profitseeking white 18345 chars,Negative
2024-05-11 18:35:32+00:00,ohio lottery data breach impacted over 538000 individuals notorius threat actor intelbroker claims the hack of the europol a cyberattack hit the us healthcare giant ascension google fixe 67639 chars,Negative
2024-05-11 19:32:20+00:00,this article has been reviewed according to science xs editorial process and policies editors have highlighted the following attributes while ensuring the contents credibility factchecked 5815 chars,Positive
2024-05-12 00:07:20+00:00,when the torah describes the jews in egypt it uses a strange terminology habayin mitzraimah these are the names of the children of israel the newcomers on their way to egypt why does the tor 3298 chars,Negative
2024-05-12 00:07:36+00:00,former president donald trump criticized president joe biden for setting the world on fire and referred to comments made earlier this week that he would withhold weapons and artillery from israel 2405 chars,Negative
2024-05-12 06:11:19+00:00,here are the top stories and upcoming coverage plans for reuters text service as of 0600 am gmt0200 am et for a full schedule of news and events go to our editorial calendar on reuters co 4333 chars,Positive
2024-05-12 08:15:24+00:00,welcome to euractivs global europe brief your weekly update on the eu from a global perspective you can subscribe to receive our newsletter here what seemed like a breakthrough a year ago is now 8440 chars,Positive
2024-05-12 09:16:30+00:00,as of may 2024 black basta ransomware affiliates hacked over 500 organizations worldwide ohio lottery data breach impacted over 538000 individuals notorius threat actor intelbroker claims t 67733 chars,Negative
2024-05-12 10:00:09+00:00,president joe bidens handling of the conflict between israel and hamas could be crucial to his support among college students according to a new poll college students have found themselves at the 7723 chars,Positive
2024-05-12 11:00:00+00:00,in february satellite photographs of a new militarized buffer zone along egypts border with gaza circulated online the egyptian government was silent about the matter for a few days then said that 15347 chars,Neutral
2024-05-12 11:44:16+00:00,israeli forces were battling palestinian militants across the gaza strip on sunday including in parts of the devastated north that the military said it had cleared months ago where hamas has exploi 6065 chars,Negative
2024-05-12 12:46:17+00:00,security affairs newsletter round 471 by pierluigi paganini international edition as of may 2024 black basta ransomware affiliates hacked over 500 organizations worldwide ohio lottery data b 67819 chars,Negative
2024-05-12 14:38:04+00:00,dear travel troubleshooter i just completed a road scholar trip to egypt but on the trip home british airways canceled my flight four hours before its scheduled departure my ticket was in busines 324 chars,Positive
2024-05-12 14:57:00+00:00,children stand behind barbedwire along a slope near a camp housing displaced palestinians in rafah in the southern gaza strip on april 30 2024 amid the ongoing conflict in the palestinian territor 6783 chars,Negative
2024-05-12 16:01:23+00:00,kfar aza israel may 12 smoke rises as the israeli armys intense attacks on the north of gaza is seen from the kfar aza region of israel on may 12 2024 photo by mostafa alkharoufanadolu via g 6464 chars,Negative
2024-05-12 16:42:52+00:00,prorussia hackers targeted kosovos government websites security affairs newsletter round 471 by pierluigi paganini international edition as of may 2024 black basta ransomware affiliates h 67881 chars,Positive
2024-05-12 21:12:00+00:00,recently several media outlets reported an attack on the convoy of saudi crown prince mohammed bin salman mbs however these claims appear to have been false the video and information about bur 13114 chars,Negative
2024-05-12 21:56:49+00:00,the exodus of palestinians from gazas last refuge accelerated sunday as israeli forces pushed deeper into the southern city of rafah israel also pounded the territorys devastated north where some h 6247 chars,Negative
2024-05-12 23:00:00+00:00,meeting with qatar pm to shed more light on deteriorating situation doha the meeting between prime minister datuk seri anwar ibrahim and his qatari counterpart sheikh mohammed abdulrahman al thani 3091 chars,Neutral
2024-05-12 23:12:56+00:00,skip to comments the death of truthrapture ready 51124 daymond duck posted on 05122024 41256 pm pdt by romanwarcriminal when asked about the signs of his coming and the end of t 17984 chars,Negative
2024-05-12 23:47:47+00:00,ccl industries inc ccl a leader in specialty label and packaging solutions has reported a robust first quarter for the year 2024 with sales climbing to 174 billion marking a 52 increase t 32660 chars,Positive
2024-05-13 00:31:03+00:00,rafah gaza strip the exodus of palestinians from gazas last refuge accelerated sunday as israeli forces pushed deeper into the southern city of rafah israel also pounded the territorys devastated 6414 chars,Negative
2024-05-13 04:01:00+00:00,trumps newest tease of potential vps is a hodge podge of zionists and antirussia militants and people are getting jittery is this a double switch why else would he allow the same regime that 5429 chars,Negative
2024-05-13 05:20:53+00:00,secret funding offshore donors control by the ultrarich sorry but this is not democracy by george monbiot published in the guardian 3rd may 2024 theres a sensible rule in british politics i 6472 chars,Neutral
2024-05-13 07:27:49+00:00,in an indepth glovesoff interview professor irwin cotler discusses with felice friedson the international legal challenges facing israel today for more stories from the media line go to themedi 49627 chars,Positive
2024-05-13 07:30:15+00:00,annual report at 31 december 2023 cairo communication spa registered office via angelo rizzoli 8 milan share capital euro 698966310 english translation for convenience of international 23618 chars,Positive
2024-05-13 07:32:09+00:00,australian firstmac limited disclosed a data breach after cyber attack prorussia hackers targeted kosovos government websites security affairs newsletter round 471 by pierluigi paganini in 67956 chars,Negative
2024-05-13 08:43:22+00:00,bloomberg money managers are digging in their heels over a popular emergingmarket bet in early 2024 even as the trade has unraveled five months into the year most read from bloomberg localc 5694 chars,Positive
2024-05-13 09:06:08+00:00,analyst conference q1 2024 aayan leasing amp investment company kscp analyst conference transcript q1 2024 8th may 2024 edited transcript of aayan leasing amp investment company k 16441 chars,Neutral
2024-05-13 09:09:12+00:00,all global research articles can be read in 51 languages by activating the translate website button below the authors name only available in desktop version to receive global researchs daily news 12633 chars,Neutral
2024-05-13 09:09:30+00:00,rate decision in romania awaited poland central bank april meeting minutes on tap czech crown at over threemonth high pakistans stock index hits record high em stocks up 05 fx flat 2579 chars,Neutral
2024-05-13 09:15:08+00:00,yves here its revealing that serious economist jeffrey frankel limits himself to thirdworld examples in his case studies below on postelection devaluations perhaps it would be unseemly to look a 11410 chars,Negative
2024-05-13 09:46:00+00:00,gurugram india may 13 2024 globe newswire the kingdom of saudi arabia is flipping the page on traditional learning ken researchs report ksa elearning market outlook to 2027 powered by 10855 chars,Neutral
2024-05-13 09:51:29+00:00,market wraps stocks european shares traded lower on monday as investors awaited us inflation data later in the week much hinges on the us april inflation report with a lower reading boo 8408 chars,Negative
2024-05-13 10:30:08+00:00,corrected transcript 07may2024 truecaller ab trueb se q1 2024 earnings call total pages 21 1877factset wwwcallstreetcom copy 39681 chars,Neutral
2024-05-13 12:16:45+00:00,more than two years of war have left swaths of ukraine in ruins pierre cromgetty images us military assistance is finally on its way to ukraine after months of being held up in congress react 7531 chars,Negative
2024-05-13 13:15:00+00:00,discover medhat zaki the resilient egyptian entrepreneur money coach and ceo of zaki international gmbh getty there is always a lot of excitement when starting a business for many it is a drea 6465 chars,Positive
2024-05-13 14:35:12+00:00,russian hackers defaced local british news sites australian firstmac limited disclosed a data breach after cyber attack prorussia hackers targeted kosovos government websites security 68009 chars,Negative
2024-05-13 14:56:48+00:00,angered over israels expanding rafah offensive egypt has joined the south african case accusing israel of genocide against palestinians under consideration by the international court of justice icj 2831 chars,Negative
2024-05-13 16:30:13+00:00,editors note a version of this story appears in cnns meanwhile in the middle east newsletter a threetimesaweek look inside the regions biggest stories sign up here the israeli military has re 5925 chars,Neutral
2024-05-13 16:32:20+00:00,part of the series amid the genocidal campaign in gaza israel has expanded its settlement project and markedly increased colonial violence and human rights abuses against palestinians killings are 18215 chars,Negative
2024-05-13 17:12:54+00:00,sign up for daily news updates from cleantechnica on email or follow us on google news over the past few years ive published assessments of the hydrogen strategies of multiple jurisdictions incl 27047 chars,Neutral
2024-05-13 18:11:00+00:00,austin tx usa may 13 2024 globe newswire custom market insights has published a new research report titled metal finishing chemicals market size trends and insights by type plating chemica 23363 chars,Positive
2024-05-13 19:52:31+00:00,city of helsinki suffered a data breach russian hackers defaced local british news sites australian firstmac limited disclosed a data breach after cyber attack prorussia hackers targeted 68053 chars,Negative
2024-05-13 20:10:00+00:00,happy monday sam amp emma host teresa ghilarducci director of the schwartz center for economic policy analysis scepa at the new school to discuss her recent book work retire repeat the 2141 chars,Positive
2024-05-13 21:08:00+00:00,israeli forces pushed deep into the ruins of gazas northern edge on monday to recapture an area from hamas fighters while in the south tanks and troops pushed across a highway into rafah leaving 5468 chars,Negative
2024-05-13 21:26:42+00:00,threat actors may have exploited a zeroday in older iphones apple warns city of helsinki suffered a data breach russian hackers defaced local british news sites australian firstmac limi 68131 chars,Negative
2024-05-13 21:49:41+00:00,aid workers struggled monday to distribute dwindling food and other supplies to hundreds of thousands of palestinians displaced by what israel says is a limited military operation in rafah as the tw 6340 chars,Negative
2024-05-13 22:15:18+00:00,an ancient grecoroman settlement in egypt survived longer than traditionally assumed archaeologists have proposed in a study the study published in the journal antiquity reports that the settle 4550 chars,Positive
2024-05-13 22:36:14+00:00,gaza city gaza may 13 smoke rises after airstrike by israeli warplanes on the jabalia camp in gaza city gaza on may 13 2024 photo by omar el qattaaanadolu via getty images anadolu 9741 chars,Neutral
2024-05-13 22:42:47+00:00,humanitarian aid is dwindling in gaza as the two main crossings near rafah the southern gaza city remained closed monday and aid workers struggled to distribute shrinking supplies and food to hundr 6127 chars,Negative
2024-05-13 23:00:10+00:00,welcome back to world brief where were looking at georgias looming foreign agents law russias new defense minister and elections in lithuania and cataloniawelcome back to world brief where were 7607 chars,Positive
2024-05-14 01:39:39+00:00,in short us national security adviser jake sullivan says it is a total outrage that israeli citizens have attacked aid bound for gazasome of the most intense fighting for weeks i 5865 chars,Negative
2024-05-14 04:16:26+00:00,market wraps watch for uk unemployment germany cpi zew indicator of economic sentiment trading updates from flutter entertainment vodafone group dcc euronext currys hannover rueck bay 9862 chars,Neutral
2024-05-14 04:17:08+00:00,czech prime minister petr fiala and his italian counterpart and partner in the conservative ecr group prime minister giorgia meloni showed they were on the same page on key issues on monday in ital 3572 chars,Neutral
2024-05-14 05:03:01+00:00,jerusalem palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national struggle but in many ways that experie 6058 chars,Negative
2024-05-14 05:16:00+00:00,jerusalem palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national struggle but in many ways that experience 6087 chars,Negative
2024-05-14 06:26:21+00:00,fy24 results presentation fy24 results may 2024 fy24 results may 2024 1 fy24 results highlights p3 financial performance p5 strategic progress p14 appendices p26 fy24 results may 2024 2 hig 48298 chars,Positive
2024-05-14 06:57:29+00:00,phorpiex botnet sent millions of phishing emails to deliver lockbit black ransomware threat actors may have exploited a zeroday in older iphones apple warns city of helsinki suffered a data 68220 chars,Negative
2024-05-14 07:29:48+00:00,palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national struggle but in many ways that experience pales in 5983 chars,Negative
2024-05-14 07:34:00+00:00,dublin may 14 2024 globe newswire the green carbon fiber market global industry size share trends opportunity amp forecast 20192029f report has been added to researchandmarketscom 11244 chars,Positive
2024-05-14 08:52:10+00:00,by voa news may 13 2024 humanitarian aid is dwindling in gaza as the two main crossings near rafah the southern gaza city remained closed monday and aid workers struggled to distribute shrinking 6299 chars,Negative
2024-05-14 09:09:32+00:00,israeli forces have attacked humanitarian aid convoys and buildings in the gaza strip at least eight times since october despite being given coordinates to ensure their protection human rights watch 3522 chars,Negative
2024-05-14 09:37:59+00:00,in gaza the refugees and their descendants make up around threequarters of the population israels rejection of what palestinians say is their right of return has been a core grievance in the con 5033 chars,Negative
2024-05-14 09:52:39+00:00,market wraps stocks european stocks traded mixed on tuesday in a cautious session ahead of us inflation data weaker data could pave the way to interestrate cuts while yet another strong se 9652 chars,Negative
2024-05-14 10:16:33+00:00,opening call stock futures were little changed on tuesday ahead of the release of the producerprice index for april the first inflation print of the week that will be followed by the highly an 9800 chars,Neutral
2024-05-14 10:53:46+00:00,google fixes sixth actively exploited chrome zeroday this year phorpiex botnet sent millions of phishing emails to deliver lockbit black ransomware threat actors may have exploited a zeroda 68288 chars,Negative
2024-05-14 12:00:00+00:00,getting under way in manama the fifth world entrepreneurs investment forum weif with a key focus on arab and african regions is being held under the theme of achieving the sustainable developme 8186 chars,Neutral
2024-05-14 12:40:05+00:00,consolidated highlights first quarter 2024 revenue of 4177 million decreased 307 or increased 355 organically reflecting a 3991 million yearonyear foreign exchange fx headwind largely 81915 chars,Positive
2024-05-14 13:12:51+00:00,a shortage of banknotes is gripping gaza fueling criminal gangs and profiteering after israel has blocked imports of cash and most banks in the enclave have been damaged or destroyed during the war 7384 chars,Negative
2024-05-14 13:17:58+00:00,now residents say israels offensive in rafah has dried up supplies again and stoked prices cairogenevaberlin a shortage of banknotes is gripping gaza fuelling criminal gangs and profiteering 7279 chars,Negative
2024-05-14 13:18:22+00:00,comedian jon stewart called out former house speaker nancy pelosi sen bob menendez dnj and hunter biden during a segment on monday focused on corruption titled how dumb is you stewart fir 2898 chars,Positive
2024-05-14 15:33:00+00:00,wilmington delaware may 14 2024 globe newswire the polylactic acid market has experienced significant growth in recent years driven by its ecofriendly properties and versatile applications 8274 chars,Positive
2024-05-14 15:40:02+00:00,rafah gaza strip ap aid workers struggled monday to distribute dwindling food and other supplies to hundreds of thousands of palestinians displaced by what israel says is a limited military operat 11091 chars,Negative
2024-05-14 15:58:57+00:00,by joseph krauss associated press jerusalem ap palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national 6153 chars,Neutral
2024-05-14 17:14:39+00:00,mitre released emb3d threat model for embedded devices google fixes sixth actively exploited chrome zeroday this year phorpiex botnet sent millions of phishing emails to deliver lockbit blac 68347 chars,Negative
2024-05-14 17:15:00+00:00,jerusalem palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national struggle but in many ways that experience 11955 chars,Negative
2024-05-14 18:04:57+00:00,vmware fixed zeroday flaws demonstrated at pwn2own vancouver 2024 mitre released emb3d threat model for embedded devices google fixes sixth actively exploited chrome zeroday this year 68420 chars,Negative
2024-05-14 18:28:10+00:00,jerusalem ap palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national struggle but in many ways that exper 6171 chars,Negative
2024-05-14 19:15:07+00:00,jerusalem may 14 ap palestinians on wednesday will mark the 76th year of their mass expulsion from what is now israel an event that is at the core of their national struggle but in many ways th 5908 chars,Negative
2024-05-14 19:58:59+00:00,as concerns have grown that former president donald trump 77 and president joe biden 81 are too old to serve another term amid repeated rhetorical missteps since announcing their campaigns heres 12858 chars,Neutral
2024-05-14 20:07:06+00:00,first quarter 2024us53 billion total payment volume up 49 yearoveryear and 4 quarteroverquarterrevenue of us184 million up 34 yearoveryear and down 2 quarteroverquarter129 net reve 45820 chars,Neutral
2024-05-14 20:14:30+00:00,while breaking down the drama going on with new jersey sen robert menendezs corruption trial daily show guest host jon stewart sarcastically commended menendezs fellow politicians naming nancy pelo 4465 chars,Positive
2024-05-14 20:35:19+00:00,comedian jon stewart called out former house speaker nancy pelosi sen bob menendez dnj and hunter biden during a segment on monday focused on corruption titled how dumb is you stewart fir 3074 chars,Positive
2024-05-14 21:17:07+00:00,microsoft patch tuesday security updates for may 2024 fixes 2 actively exploited zerodays vmware fixed zeroday flaws demonstrated at pwn2own vancouver 2024 mitre released emb3d threat mod 68515 chars,Negative
2024-05-14 21:40:05+00:00,msci inc nyse msci a leading provider of critical decision support tools and services for the global investment community announced the results of the may 2024 index review for the msci equity 13039 chars,Positive
2024-05-15 02:43:57+00:00,the gaza war has now entered its eighth month and a resolution to the conflict still seems far off israel claims to have killed 13000 hamas militants so far if that figure is correct one can ass 6683 chars,Negative
2024-05-15 04:00:00+00:00,bloomberg mounting price pressures from the resurgence of the dollar foreigncurrency crunches and adverse weather conditions are set to lead to delayed and shallower interestrate cuts for afr 5254 chars,Negative
2024-05-15 05:03:18+00:00,tens of thousands of civilians fled the southern gaza city of rafah ahead of a threatened israeli ground offensive as palestinians on wednesday mark the anniversary of their nakba or catastrophe 5791 chars,Negative
2024-05-15 05:06:09+00:00,analysts investors conference transcript for q1 of the financial year 2024 analystsinvestors conference transcript for q1 of the financial year 2024 ali alghanim sons automotive company analyst 11817 chars,Neutral
2024-05-15 05:14:58+00:00,nearly 450000 palestinians have been displaced from rafah since may 6 and around 100000 from northern gaza un agencies said copyright afpfile wikus de wet tens of thousands of civilians fled 5554 chars,Neutral
2024-05-15 05:15:39+00:00,by paul hannon the economies of central europe are set for stronger growth this year and next as inflation cools but russias invasion of ukraine will continue to cast a shadow over their prospect 3876 chars,Positive
2024-05-15 05:37:19+00:00,gaza strip tens of thousands of civilians fled the southern gaza city of rafah ahead of a threatened israeli ground offensive as palestinians on wednesday mark the anniversary of their nakba or 5385 chars,Negative
2024-05-15 05:58:34+00:00,london russias economy will grow further this year despite western sanctions over its ukraine invasion while israels war against hamas in gaza will weigh on neighbouring nations europes develop 3903 chars,Negative
2024-05-15 06:00:00+00:00,saudi arabian officials have reportedly allowed the use of lethal force against local villagers to clear land and construct the green city named neom or the line saudi arabian dissident and fo 4896 chars,Positive
2024-05-15 06:06:06+00:00,halfyearfinancial report 1 october 2023 31 march 2024 content interim management report summary report on changes in expected development consolidated earnings segmental performance financial 201094 chars,Neutral
2024-05-15 06:27:05+00:00,tens of thousands of civilians fled the southern gaza city of rafah ahead of a threatened israeli ground offensive as palestinians today mark the anniversary of their nakba or catastrophe of 1948 5643 chars,Negative
2024-05-15 06:27:05+00:00,tens of thousands of civilians fled the southern gaza city of rafah ahead of a threatened israeli ground offensive as palestinians today mark the anniversary of their nakba or catastrophe of 1948 5486 chars,Negative
2024-05-15 06:33:30+00:00,by libby george london reuters two wars and high borrowing costs have trimmed expected growth in countries covered by the european bank for reconstruction and development ebrd the bank said i 2093 chars,Negative
