date,content,headlines
2024-03-25T09:45:42Z,"2023 was a breakout year for artificial intelligence (AI), and 2024 does not show any sign of slowing down.
Generative AI features became a part of the user interfaces of top search engines, social … [+17661 chars]","Scalable AI Tools For SEO: A Quick Guide For 2024 via @sejournal, @kristileilani"
2024-04-11T12:41:27Z,"SAN JOSE, CALIFORNIA - MARCH 18: Nvidia CEO Jensen Huang delivers a keynote address during the ... [+] Nvidia GTC Artificial Intelligence Conference at SAP Center on March 18, 2024 in San Jose, Calif… [+8554 chars]","Why Nvidia Stock Could Top $1,000 A Share After May Earnings Report"
2024-03-28T22:27:29Z,"<table><tr><td>Welcome to LWN.net
The following subscription-only content has been made available to you 
by an LWN subscriber. Thousands of subscribers depend on LWN for the 
best news from the L… [+17562 chars]",The race to replace Redis
2024-04-01T21:18:28Z,"The Magnificent Seven? They're yesterday's news! The stock market advance is now broadening out, with new sectors and new stocks starting to win the performance race. Here are some fresh insights and… [+9902 chars]",Moving Past The Mag 7: New Leaders For Q2 And Beyond
2024-04-15T14:59:56Z,"Last week, Rich used the week's DF Direct as a launching point to write about how Intel's new benchmarking tools could be transformative for our testing and coverage of PC games - and this week I'm h… [+6599 chars]",DF Weekly: there's a Warehouse Sale on at the DF merch store
2024-03-21T16:46:46Z,"The United States Department of Justice (DOJ) has filed a landmark civil antitrust lawsuit against the tech giant Apple, alleging that the company has stifled competition to boost its revenues and il… [+3020 chars]",US DOJ announces antitrust lawsuit against tech giant Apple
2024-03-24T18:10:40Z,"WASHINGTON, DC - MARCH 21: U.S. Attorney General Merrick Garland speaks during a news conference at ... [+] the Department of Justice Building on March 21, 2024 in Washington, DC. During the news con… [+11315 chars]","As Apple Stock Drops, Antitrust Suit Highlights Lost Innovation Mojo"
2024-03-28T22:02:28Z,"After a lot of wrangling with regulators, Microsoft recently spent $69 billion-with-a-b to acquire Activision Blizzard, after which it almost immediately cut 1,900 jobs across its gaming business. No… [+3380 chars]",Phil Spencer blames capitalism for games industry woes: 'I don't get [the] luxury of not having to run a profitable growing business'
2024-03-25T19:25:49Z,"This is the published version of Forbes CEO newsletter, which offers the latest news for today's and tomorrow's business leaders and decision makers. Click here to get it delivered to your inbox ever… [+13810 chars]",No More AI ‘Playground’—Adobe Wants Customers To See Real Gains From AI
2024-04-11T20:28:15Z,"Chipmaker Marvell Technology (MRVL) on Thursday announced new business making custom AI chips for large U.S.-based cloud computing firms. But Marvell stock didn't get much of a boost from the news.
… [+2709 chars]",Chipmaker Marvell Touts New AI Business But Market Shrugs
2024-04-10T17:56:49Z,The Dow Jones Industrial Average tumbled Wednesday after hot inflation data and the latest Fed minutes revealed inflation worries. Artificial intelligence leader Nvidia (NVDA) moved higher despite a … [+7405 chars],Dow Jones Dives As Nvidia Gains Amid Correction; This Warren Buffett Stock Flashes Sell Signal
2024-03-20T12:06:31Z,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
Today is Opening Day for Major League Baseballwell, kind-of. MLB ki… [+11083 chars]","Forbes Daily: After Raising $1.3 Billion, Inflection Cofounder Joins Microsoft"
2024-04-04T16:56:15Z,"This is the published version of Forbes CIO newsletter, which offers the latest news for chief innovation officers and other technology-focused leaders. Click here to get it delivered to your inbox e… [+12642 chars]",Why AI Implementation Works Best With A Team Approach
2024-04-09T13:30:07Z,"The new oil isn’t data or attention. It’s words. The differentiator to build next-gen AI models is access to content when normalizing for computing power, storage, and energy.
But the web is already… [+10842 chars]","Labeled: A New Wave Of AI Content Labeling Efforts via @sejournal, @Kevin_Indig"
2024-04-02T16:54:37Z,"This is the published version of Forbes' CFO newsletter, which offers the latest news for chief finance officers and other leaders focused on the budget. Sign up here to get it delivered to your inbo… [+8926 chars]",Why More Companies Are Promoting CFOs To CEOs
2024-03-21T17:00:57Z,"This is the published version of Forbes CIO newsletter, which offers the latest news for chief innovation officers and other technology-focused leaders. Click here to get it delivered to your inbox e… [+14273 chars]",Nvidia Reaffirms Its AI Tech Dominance With New GPUs
2024-04-11T12:47:42Z,"Dow Jones futures turned higher early Thursday, along with S&amp;P 500 futures and Nasdaq futures on the stock market today, erasing modest losses on the PPI inflation report. That followed Wednesday… [+6063 chars]","Dow Jones Futures Pare Losses On PPI Inflation Report; Nvidia, Microsoft Price Targets Raised"
2024-03-28T16:00:00Z,"CLN
KraneShares
Key News
Asian equities were largely higher as Mainland China, Hong Kong, Australia, and India outperformed while Japan underperformed. Malaysia was closed for Nuzul Al-Quran, whic… [+5570 chars]",China Market Update: Growth Stocks Lead Mainland China & Hong Kong Higher
2024-03-21T12:30:29Z,"Apple shares were down nearly 1% in premarket trading Thursday, following overnight reports that the Justice Department is preparing to file a federal antitrust suit accusing the iPhone maker of bloc… [+3050 chars]",Apple Slips In Premarket Trading Following Report Of A DOJ Antitrust Case
2024-04-01T14:42:58Z,"CLN
KraneShares
Key News
Asian equities were higher overnight as China and the Philippines outperformed, Japan underperformed while Australia and Hong Kong were closed for Easter Monday.
Shanghai… [+2841 chars]","China Market Update: PMIs Rebound, BYD Reports Strong Sales"
2024-04-16T12:10:04Z,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
You might soon have to pay to Tweet. On Monday, X owner Elon Musk s… [+10834 chars]",Forbes Daily: Samsung Overtakes Apple As iPhone Shipments Slump
2024-04-02T14:09:30Z,"CLN
KraneShares
Key News
Asian equities were mixed as Hong Kong and Taiwan outperformed.
Hong Kong investors were in a good mood following the four-day weekend as the market played catch up follo… [+5055 chars]",China Market Update: Alibaba Joins Tencent’s Buyback Bonanza
2024-03-22T12:26:47Z,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
The movement for a four-day workweek has made its way to the U.S. S… [+9096 chars]",Forbes Daily: U.S. Accuses Apple Of Stifling Smartphone Competition
2024-04-14T16:15:00Z,"This is the published version of Forbes CEO newsletter, which offers the latest news for today's and tomorrow's business leaders and decision makers. Click here to get it delivered to your inbox ever… [+12799 chars]",Why CEOs Are So Optimistic About The Economy
2024-04-10T12:22:27Z,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
The war of the social media giants continues to heat up. TikTok is … [+8502 chars]","Forbes Daily: Riding The AI Wave, Alphabet Eyes $2 Trillion"
2024-04-11T16:50:13Z,"This is the published version of Forbes CIO newsletter, which offers the latest news for chief innovation officers and other technology-focused leaders. Click here to get it delivered to your inbox e… [+11667 chars]",Meet The AI Leaders Reshaping Technology And Business
2024-04-15T18:33:17Z,"Atlassian (TEAM) Stock Trades Down, Here Is Why
What Happened:
Shares of IT project management software company, Atlassian (NASDAQ:TEAM) fell 5.6% in the afternoon session as the major indices decl… [+4126 chars]","Atlassian (TEAM) Stock Trades Down, Here Is Why"
2024-04-03T15:18:25Z,"CLN
KraneShares
Key News
Asian equities were a sea of red overnight as strong US economic data lowered US Fed cut probabilities, along with spiking oil prices on Middle East tensions.
Taiwan was … [+6441 chars]","China Market Update: Services PMI Beats, Biden & Xi Discuss The San Francisco Vision"
2024-04-08T15:48:48Z,"If history is written by the victors, Lore Harp McGovern should have volumes devoted to her contributions to the personal computing industry. In the mid-1970s, from her suburban California home, Harp… [+46185 chars]",She Built a Microcomputer Empire from Her Suburban Home
2024-04-05T13:59:13Z,"ozgurdonmaz
The Apple Investment Thesis
 With the antitrust case that became public a few days ago, what I suspected in my last article in December has come true, when I said that Apple Inc. (NASDA… [+8379 chars]",Apple: Antitrust Case Could Prove Positive For Investors
2024-03-25T23:25:09Z,"On March 21, the United States Justice Department sued Apple for antitrust violations, concluding a multi-year investigation into Apple's business practices. The U.S. government is also pursuing anti… [+17254 chars]",Apple vs. the U.S. Department of Justice: What You Need to Know
2024-03-25T20:42:03Z,The Dow Jones Industrial Average and other major indexes fell Monday even as artificial intelligence players Super Micro Computer (SMCI) and Nvidia (NVDA) rallied. A Bill Ackman stock neared a buy po… [+7862 chars],Dow Jones Dips As Donald Trump Stock Rockets; This Bill Ackman AI Play Eyes Entry Amid Monster Run
2024-04-01T21:09:20Z,"(Bloomberg) -- Rubrik Inc., a cloud and data security startup backed by Microsoft Corp., filed for an initial public offering, disclosing growing revenue and losses.
Most Read from Bloomberg
The of… [+1655 chars]",Microsoft-Backed Rubrik Shows $354 Million Loss in IPO Filing
2024-04-15T14:55:38Z,The Dow Jones index rose on the stock market today after Goldman Sachs (GS) beat views and retail sales data was strong. Tesla (TSLA) fell after CEO Elon Musk said massive job cuts were essential for… [+6225 chars],"Dow Jones Gains As Elon Musk Says This 'Must Be Done,' Cathie Wood Buys Plunging Stocks"
2024-04-02T15:33:29Z,"Amazon.com, Inc.s (NASDAQ:AMZN) Amazon Web Service (AWS) has reportedly expanded its free credits program for startups.
Amazon will now allow its cloud credits to cover the use of models from other … [+2126 chars]","Amazon Heats Up AI Battle, Offers Free Credits For Startups To Use Rival Models With AWS"
2024-03-30T01:34:41Z,"CLN
KraneShares
Week in Review
<ul><li>Asian equities were mixed for the week as Japan and China markets underperformed and India outperformed.</li><li>Global CEOs including AMDs Lisa Su, Apples T… [+7139 chars]","China Market Update: Xiaomi Roars Quietly Into EVs, China Corporates & Regulators Visit NYC, Week In Review"
2024-04-09T15:32:42Z,"Stocks have surged across a variety of sectors to start the year. First quarter earnings season is about to put the breadth of the rally to the test.
""We can always talk about price action and wheth… [+4406 chars]",Earnings season to test breadth of stock market rally
2024-04-12T11:13:00Z,"Forward-looking: Companies like Google and Microsoft have been scrambling to integrate as many GenAI features into their productivity suites as soon possible. Case in point, this week at Google's Clo… [+5049 chars]",Google enhances Workspace with Gemini Pro 1.5 and new Vids application
2024-03-26T12:11:12Z,"(Bloomberg) -- Nvidia Corp.s runup since the start of 2023 has been so sudden and strong that even bullish investors are raising concerns about how much room its shares have left to run.
Most Read f… [+6521 chars]",Nvidia Traders Find Reasons to Worry Beyond Sky-High Stock Price
2024-04-11T12:25:51Z,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
A new tech economy has sprung up to help businesses deploy AI. That… [+9430 chars]",Forbes Daily: Markets Cool Off After Disappointing Inflation Report
2024-03-21T21:30:30Z,"Broadcom (AVGO) stock surged Thursday on news that the company gained a new AI chip customer.
XThe Palo Alto, Calif.-based company held an investor meeting Wednesday titled Enabling AI Infrastructur… [+3175 chars]",Broadcom Stock Rallies After Tech Firm Gains New AI Chip Customer
2024-04-10T21:10:22Z,"AI chip introductions this week from Intel (INTC), Marvell Technology (MRVL) and Alphabet's (GOOGL) Google are showing that Nvidia (NVDA) isn't the only game in town for artificial intelligence proce… [+3641 chars]","Nvidia, IBD Stock Of The Day, Shakes Off AI Chip Competition"
2024-04-04T12:54:05Z,"Amazon is now offering its best price ever on the Seagate FireCuda 520N 2TB M.2 2230 Solid-State Drive at $115.24 shipped. Currently listed at Temporarily out of stock, but you can still lock-in the … [+2155 chars]",Secure Seagate’s FireCuda 2230 SSD for your PC handheld at the $115 all-time low (Reg. $200)
2024-03-30T09:55:51Z,"In this article, we will take a look at the 12 hot tech stocks to invest in now. To skip our analysis of the recent technology trends, and market activity, you can go directly to see the 5 Hot Tech S… [+14044 chars]",12 Hot Tech Stocks to Invest in Now
2024-03-27T15:11:14Z,"Alongside all of todays early World Backup Day deals, both Amazon and Best Buy are now offering the best price yet on the latest 2TB WD_BLACK SN770M M.2 2230 NVMe Solid-State Drive at $199.99 shipped… [+2136 chars]","WD_BLACK’s latest 2TB handheld gaming PC SSD just hit a new low at $200, more from $72"
2024-03-20T16:00:00Z,"After a staggering crypto rally, primarily led by Bitcoin, it is fair to say that the approval of spot bitcoin U.S. ETFs in January approval was a game-changer. Since January 10, cryptos total market… [+5363 chars]",What’s Next for Crypto?
2024-03-27T12:30:32Z,"It's 2007. I'm sitting at my friend's house, and we're playing Halo when he shows us this ""Call of Duty"" game — the original Modern Warfare. I had no clue what it was, but I loved it immediately. It … [+33038 chars]",Turtle Beach's first racing wheel for Xbox and PC has the potential to be one of the best entry-level sim options
2024-04-01T12:15:53Z,"This is a published version of the Forbes Daily newsletter, you can sign-up to get Forbes Daily in your inbox here.
Good morning,
Were one week away from a total solar eclipse in the U.S., and Niag… [+10953 chars]",Forbes Daily: Inside The Downfall Of Stability AI Founder Emad Mostaque
2024-04-09T15:54:59Z,"Uber Technologies, Incs (NYSE:UBER) Uber Eats is introducing a TikTok-style short-form video feature to enhance food discovery and enable restaurants to highlight their offerings more vividly.
This … [+3440 chars]",Uber Eats Embraces TikTok Wave with New Short-Form Video Discovery Tool
2024-04-03T13:27:03Z,"Sign up for the GI Daily here to get the biggest news straight to your inbox
Embracer Group has become a cautionary tale for the games industry; the poster child of what happens when a business grow… [+10372 chars]","Saber's Matther Karch: ""Don't bet against Embracer"""
2024-04-19T11:19:00Z,"Here are the most important news items that investors need to start their trading day:
1. On edge
Stock futures fell early Friday after Israel carried out a limited strike on Iran. Israel has not c… [+4136 chars]",5 things to know before the stock market opens Friday
2024-03-26T13:27:36Z,"Wedbush reaffirms its 'outperform' opinion on Microsoft and raises its price target from $475 to $500 on the US IT giant's stock, which is still on its 'best ideas list'.This target upgrade reflects … [+884 chars]",Microsoft: Wedbush raises its price target
2024-04-09T15:07:02Z,"The Dow Jones and other major stock indexes plunged in morning trades Tuesday, as the markets braced for a key inflation report. Meanwhile, Tesla rose as investors weighed major developments at the e… [+4166 chars]",Indexes Fall As Inflation Report Looms; Tesla Surges On New Developments While Nvidia Falls Despite China Surprise
2024-04-05T09:30:00Z,"Steve Ballmer reclaimed his spot as the worlds richest owner, but theres a maverick newcomer in the top three.
Spending money has never been an issue for Los Angeles Clippers owner Steve Ballmer. In… [+12296 chars]",The World’s Richest Sports Team Owners 2024
2024-04-03T06:42:47Z,"Microsoft (NASDAQ:MSFT – Get Free Report) had its price target raised by stock analysts at Jefferies Financial Group from $465.00 to $550.00 in a research note issued to investors on Monday, Benzinga… [+6222 chars]",Microsoft (NASDAQ:MSFT) PT Raised to $550.00
2024-04-14T07:34:41Z,"Microsoft (NASDAQ:MSFT – Get Free Report) had its price objective upped by stock analysts at BMO Capital Markets from $455.00 to $465.00 in a research note issued on Friday, MarketBeat Ratings report… [+5723 chars]",Microsoft (NASDAQ:MSFT) PT Raised to $465.00
2024-03-27T06:30:42Z,"Microsoft (NASDAQ:MSFT – Get Free Report)‘s stock had its “buy” rating reiterated by Truist Financial in a research report issued on Monday, Benzinga reports. They presently have a $600.00 price obje… [+5694 chars]",Microsoft (NASDAQ:MSFT) Rating Reiterated by Truist Financial
2024-04-19T06:38:48Z,"Quisitive Technology Solutions, Inc. (CVE:QUIS – Get Free Report) fell 1.3% during trading on Thursday . The company traded as low as C$0.38 and last traded at C$0.40. 114,175 shares changed hands du… [+1757 chars]",Quisitive Technology Solutions (CVE:QUIS) Stock Price Down 1.3%
2024-03-23T08:24:42Z,"KeyCorp started coverage on shares of Microsoft (NASDAQ:MSFT – Get Free Report) in a research note issued to investors on Thursday, MarketBeat Ratings reports. The brokerage set an “overweight” ratin… [+5677 chars]",Microsoft (NASDAQ:MSFT) Coverage Initiated at KeyCorp
2024-04-12T07:20:44Z,"Microsoft (NASDAQ:MSFT – Get Free Report)‘s stock had its “buy” rating reaffirmed by stock analysts at UBS Group in a research report issued to clients and investors on Wednesday, Benzinga reports. T… [+5555 chars]",Microsoft (NASDAQ:MSFT) Receives Buy Rating from UBS Group
2024-03-30T11:18:49Z,"Microsoft Co. (NASDAQ:MSFT – Get Free Report)’s stock price dropped 0.1% during trading on Thursday . The stock traded as low as $419.12 and last traded at $421.11. Approximately 3,763,469 shares wer… [+5778 chars]",Microsoft (NASDAQ:MSFT) Trading Down 0.1%
2024-03-28T05:22:42Z,Microsoft Co. (NASDAQ:MSFT – Get Free Report)’s stock price shot up 0.3% on Tuesday after Wedbush raised their price target on the stock from $475.00 to $500.00. Wedbush currently has an outperform r… [+6614 chars],Microsoft (NASDAQ:MSFT) Shares Up 0.3% After Analyst Upgrade
2024-03-27T07:12:45Z,"Microsoft (NASDAQ:MSFT – Free Report) had its price objective raised by Wedbush from $475.00 to $500.00 in a research report report published on Tuesday morning, Benzinga reports. The firm currently … [+6549 chars]",Microsoft (NASDAQ:MSFT) Price Target Raised to $500.00 at Wedbush
2024-03-25T08:24:43Z,"Microsoft Co. (NASDAQ:MSFT – Get Free Report) has been given an average rating of “Moderate Buy” by the thirty-nine brokerages that are currently covering the firm, MarketBeat.com reports. Three rese… [+6556 chars]",Brokerages Set Microsoft Co. (NASDAQ:MSFT) Price Target at $415.00
2024-03-27T11:04:43Z,"Microsoft Co. (NASDAQ:MSFT – Get Free Report)’s stock price traded down 1% during trading on Monday . The company traded as low as $421.61 and last traded at $424.65. 5,314,029 shares were traded dur… [+5861 chars]",Microsoft (NASDAQ:MSFT) Trading Down 1%
2024-03-20T07:45:43Z,"Bill Gates, co-founder of Microsoft, on AI: Less work, more wealth 
January 16, 2024 at 11:51 am EST",MICROSOFT CORP : UBS reiterates its Buy rating
2024-04-03T01:49:25Z,<ul><li>Intel shares moved lower in extended trading Tuesday evening after the company disclosed a widening loss and declining sales in its foundry business.</li><li>The chipmaker's foundry business … [+3139 chars],"Intel Stock Drops as Loss Widens, Sales Decline in Chipmaker's Foundry Business"
2024-04-02T20:36:27Z,"Top News
Risant Health completes its acquisition of Geisinger, which will become its inaugural health system. 
The non-profit Risant Health, which will focus on value-based care, expects to acquire… [+6901 chars]",News 4/3/24
2024-03-19T19:17:40Z,"Microsoft Hires Artificial Intelligence Leader for Consumer-Products Push 
Mustafa Suleyman helped lead Google's DeepMind, a pioneering artificial intelligence lab. 
Super Micro plans to sell stock… [+1863 chars]",News Highlights: Top Company News of the Day - Tuesday at 3 PM ET
2024-03-20T19:16:43Z,"Apollo Offers $11 Billion for Paramount's Studio 
The bid comes as an independent committee of the company's directors is reviewing another offer from Skydance Media to merge with all of Paramount. … [+2022 chars]",News Highlights: Top Company News of the Day - Wednesday at 3 PM ET
2024-03-28T10:18:42Z,"Exchange Bank cut its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 6.7% in the fourth quarter, according to the company in its most recent disclosure with the Securities and Exchange Comm… [+7065 chars]",Exchange Bank Reduces Stock Position in Microsoft Co. (NASDAQ:MSFT)
2024-04-16T09:54:41Z,"Quent Capital LLC boosted its position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 7.9% during the fourth quarter, according to its most recent Form 13F filing with the Securities and E… [+6746 chars]",Microsoft Co. (NASDAQ:MSFT) Stock Position Boosted by Quent Capital LLC
2024-04-17T08:12:42Z,"Sharper &amp; Granite LLC lowered its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 3.1% in the fourth quarter, according to the company in its most recent Form 13F filing with the Securit… [+7075 chars]",Sharper & Granite LLC Trims Stock Holdings in Microsoft Co. (NASDAQ:MSFT)
2024-03-27T10:26:42Z,"Diligent Investors LLC grew its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.2% in the 4th quarter, according to the company in its most recent Form 13F filing with the SEC. The firm ow… [+6839 chars]",Microsoft Co. (NASDAQ:MSFT) Stock Position Increased by Diligent Investors LLC
2024-04-08T09:18:41Z,"Riversedge Advisors LLC grew its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 33.4% during the fourth quarter, according to its most recent 13F filing with the Securities and Exchange Com… [+7153 chars]",Riversedge Advisors LLC Grows Stock Holdings in Microsoft Co. (NASDAQ:MSFT)
2024-04-13T11:16:43Z,"Whelan Financial boosted its position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 18.8% in the fourth quarter, according to its most recent Form 13F filing with the Securities &amp; Exc… [+6990 chars]",Whelan Financial Increases Stock Position in Microsoft Co. (NASDAQ:MSFT)
2024-03-19T23:16:42Z,"Gildan Activewear to Consider Potential Bids 
Canadian clothing maker is considering its options after receiving expressions of interest from several potential buyers. 
Microsoft Hires DeepMind Co-… [+1665 chars]",News Highlights: Top Company News of the Day - Tuesday at 7 PM ET
2024-04-12T10:58:43Z,"Microsoft (NASDAQ:MSFT – Free Report) had its target price increased by Morgan Stanley from $465.00 to $520.00 in a research report sent to investors on Thursday morning, MarketBeat.com reports. They… [+6540 chars]",Microsoft (NASDAQ:MSFT) Price Target Increased to $520.00 by Analysts at Morgan Stanley
2024-04-18T07:10:42Z,"Microsoft (NASDAQ:MSFT – Get Free Report) will be releasing its earnings data after the market closes on Thursday, April 25th. Analysts expect Microsoft to post earnings of $2.81 per share for the qu… [+6213 chars]",Microsoft (MSFT) Scheduled to Post Earnings on Thursday
2024-03-30T05:16:41Z,"Quisitive Technology Solutions (CVE:QUIS – Get Free Report) had its price objective lowered by equities researchers at Eight Capital from C$1.00 to C$0.75 in a note issued to investors on Thursday, B… [+1859 chars]",Eight Capital Lowers Quisitive Technology Solutions (CVE:QUIS) Price Target to C$0.75
2024-03-21T14:32:22Z,"WASHINGTON (AP) The Justice Department on Thursday announced a sweeping antitrust lawsuit against Apple, accusing the tech giant of engineering an illegal monopoly in smartphones that boxes out compe… [+6103 chars]","Apple has kept an illegal monopoly over smartphones in US, Justice Department says in antitrust suit"
2024-04-04T20:44:01Z,"Alphabet Inc. might make an offer for marketing software giant HubSpot Inc., Reuters reported today.
Sources told the news agency that the Google LLC parent has held discussions with Morgan Stanley … [+3551 chars]",Report: Alphabet could make an acquisition offer for HubSpot
2024-03-31T05:12:43Z,"Shares of Quisitive Technology Solutions, Inc. (CVE:QUIS – Get Free Report) have been given a consensus rating of “Moderate Buy” by the seven ratings firms that are currently covering the stock, Mark… [+1716 chars]","Quisitive Technology Solutions, Inc. (CVE:QUIS) Receives C$0.88 Consensus Target Price from Analysts"
2024-04-18T10:26:42Z,"Microsoft (NASDAQ:MSFT – Free Report) had its price objective hoisted by Wells Fargo &amp; Company from $460.00 to $480.00 in a research report sent to investors on Wednesday morning, MarketBeat.com … [+6585 chars]",Microsoft (NASDAQ:MSFT) Price Target Increased to $480.00 by Analysts at Wells Fargo & Company
2024-04-17T05:10:42Z,Microsoft Co. (NASDAQ:MSFT – Get Free Report) shares rose 0.2% on Monday after BMO Capital Markets raised their price target on the stock from $455.00 to $465.00. BMO Capital Markets currently has an… [+6449 chars],Microsoft (NASDAQ:MSFT) Trading 0.2% Higher After Analyst Upgrade
2024-03-19T21:16:22Z,"Gildan Activewear to Consider Potential Bids 
Canadian clothing maker is considering its options after receiving expressions of interest from several potential buyers. 
Microsoft Hires DeepMind Co-… [+1803 chars]",News Highlights: Top Company News of the Day - Tuesday at 5 PM ET
2024-04-17T07:06:41Z,"Shares of Microsoft Co. (NASDAQ:MSFT – Get Free Report) have received an average recommendation of “Moderate Buy” from the thirty-nine ratings firms that are currently covering the company, Marketbea… [+6578 chars]",Analysts Set Microsoft Co. (NASDAQ:MSFT) PT at $430.52
2024-04-02T08:50:41Z,"Independent Wealth Network Inc. boosted its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 13.6% during the 4th quarter, according to its most recent 13F filing with the SEC. The fir… [+6864 chars]",Independent Wealth Network Inc. Has $3.60 Million Stock Position in Microsoft Co. (NASDAQ:MSFT)
2024-04-02T19:09:44Z,Most of these violations involve failures to properly disclose stock trades as required by the Stop Trading on Congressional Knowledge (STOCK) Act of 2012. Some involve not abiding by the transparenc… [+57329 chars],Trump plots overturning 2024 election as Dems prepare legal 'army' to stop him: analysis
2024-04-03T09:08:42Z,"Sweet Financial Partners LLC lifted its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 8.3% during the fourth quarter, according to the company in its most recent Form 13F filing with the SEC.… [+6869 chars]",Sweet Financial Partners LLC Has $5.71 Million Stock Position in Microsoft Co. (NASDAQ:MSFT)
